PM_PROPERTY_ID,PROPERTY_NAME,ADDRESS_OF_RECORD,POSTAL_CODE,LATITUDE,LONGITUDE
3876584,DPW Vehicle Maintenance Facility 2A,1242  MOUNT OLIVET RD NE,20002,38.91100481,-76.98345596
3984616,Claypoole Courts,1408 - 1432 GIRARD ST NW,20009,38.92512991,-77.03347341
3412500,! Engine Company 9,1617 U ST NW,20009,38.91730426,-77.03752783
6373284,CubeSmart (DC) - 598,1629 - 1631 ECKINGTON PL NE,20002,38.91242112,-77.00394514
3997893,1630 R Street,1630 R ST NW,20009,38.91241914,-77.03756505
3412554,! United Planning Org @ Frederick Douglass,3240 STANTON ROAD SE,20020,38.84927537,-76.9806473
3365882,! Mann Elementary School,4430 NEWARK ST,20016,38.93429976,-77.0878285
3644356,The Delano,2745 29TH ST NW,20008,38.92495375,-77.05713642
3412554,! United Planning Org @ Frederick Douglass,3240 STANTON ROAD SE,20020,38.84927537,-76.9806473
3412541,First District Substation,500 E ST SE,20003,38.88337543,-76.99924298
3412573,Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3412573,Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3412592,! Mt. Pleasant Library,3160 16TH ST NW,20010,38.93047518,-77.03714689
3412476,<10K Engine Company 25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
3412476,<10K Engine Company 25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
4020144,McCollough Canaanland Apartments,1202 - 1216 6TH ST NW,20001,38.90702666,-77.02016462
3412516,Transitional Housing Corp - Partner Arms III,342 37TH STREET SE,20019,38.88443239,-76.95167176
3412541,#NAME?,500 E ST SE,20003,38.88337543,-76.99924298
3412552,Engine Company #10,1300 FLORIDA AV NE,20002,38.9015951,-76.98669648
3412516,Transitional Housing Corp - Partner Arms III,342 37TH STREET SE,20019,38.88443239,-76.95167176
4178738,Elvans Road,2440 - 2458 ELVANS RD SE,20020,38.85399214,-76.98846551
3412541,#NAME?,500 E ST SE,20003,38.88337543,-76.99924298
6367076,Hedin House Apartments,2900 NEWTON ST,20018,38.93429019,-76.96634513
3412552,! Engine Company 10,1300 FLORIDA AV NE,20002,38.9015951,-76.98669648
3412541,First District Substation,500 E ST SE,20003,38.88337543,-76.99924298
3412500,! Engine Company 9,1617 U ST NW,20009,38.91730426,-77.03752783
4376458,McCollough Terrace Apartments,1210 - 1220 7TH ST NW,20001,38.90711011,-77.02213281
3412500,Engine Company #9,1617 U ST NW,20009,38.91730426,-77.03752783
3999200,6101 Blair Rd NW - Blair Rd DG,6101 BLAIR RD NW,20011,38.96500879,-77.01149508
3412516,Transitional Housing Corp - Partner Arms III,342 37TH STREET SE,20019,38.88443239,-76.95167176
3412500,Engine Company 9,1617 U ST NW,20009,38.91730426,-77.03752783
3412548,New Endeavors Shelter N St NW,0611 N ST NW,20001,38.9074793,-77.02056163
